"CC WRB PRP VBD RB TO PRP PRP VBD EX CC VBD TO DT NNS VBP `` UH , JJ .",1
"RB , PRP$ NN RB VBD IN CD WDT NN TO CD IN CD , CC CD .",1
DT NN NN NN ( NNP NN ) VBZ DT NNS IN NN NN TO DT NN NNP .,1
"IN PRP$ VBG IN NNP , PRP VBD DT NN POS # CD VBN NN IN CD ( IN NNP CC PRP VBP RB VBP DT IN NN ) .",1
NNP VBD DT NN IN DT JJ NNP CC NNP NNP NNP NN .,1
"NN IN NNS IN DT NNP IN NNP NNP VBZ DT JJ NNP NNP CC NNP NNP NNP , NN CC VBG DT NN IN VBG NNS TO VB RBR JJ , JJ , JJ NNS .",1
DT NNP CD NN VBD RB DT NN IN DT NN IN NNP CD .,1
"PRP VBD IN JJ NNS , RB NNP NN WP VBD JJ IN PRP$ NNS CC VBD DT NN IN NNP POS NN NN JJ NNP NNP , VBN IN PRP$ JJ NN NNP IN CD .",1
"DT NNP NNP NNP VBD VBN IN DT NNP IN NNP VBD IN CD NNP CD , WDT VBD DT NN TO VB DT NN IN NNP TO NNP ( IN DT NN VBN NNP ) CC DT NN IN NNP TO NNP , IN DT NNP NNP .",1
NNP NNP VBD NNP IN `` RB DT JJ .,1
"DT VBZ VBN IN DT VBN RP NN NN VBD IN DT NNP NNP CC NNP NNP , DT JJS NN VBG NN IN DT NN WDT VBZ RB DT NN IN DT NN IN DT NNP .",1
"VBG DT JJ NN NN VBG CD NNS , PRP VBD TO DT NNS IN JJ NN CC JJ NN IN NNP CD .",1
"DT NN MD VB DT NN IN NN CC NN , VBP TO DT JJ CC DT NN .",1
"IN CD , NNP VBD DT JJ JJ NN IN DT NN NN IN NNP , VBG NNP NN , NNP .",1
", ( CD NN , CD ) CC NNP NNP ( CD NNS , CD CD ) NNP NNP ( CD NNS , CD ) CC NNP NNP ( CD NNS , CD CD ) NNP NNP , NNP .",1
"NNP NNP , NN NN IN DT NNP , VBD DT NN VBD JJ JJ NN , JJ NN , JJ NN CC NN NNS .",1
`` DT VBZ JJ NN IN DT NNPS VBP RB IN PRP$ JJ NNS .,1
"NNP NNP VBZ DT JJ , JJ NN IN NNS VBG PRP DT JJ NN IN NN .",1
JJ NNS IN NNS IN NNP VBP VBN NNS IN PRP$ NN TO VB NNS VBG TO NNP IN IN NNS IN DT NN TO VB WRB JJ NN VBZ VBN IN CC IN IN NNP .,1
"JJ JJ NNS , WP VBP RB JJ NN , VBP NNP , NNP NN NNP NN NNP , CC NNP .",1
"`` NNP NNP , NNP NN , NN , NN , CC RB , VBD `` NNP NN VBZ DT NN VBN IN DT TO WP PRP VBD VBN IN NNS WP VBD RB VB PRP .",1
DT NNP MD VB IN DT NN VBZ NNP ( NN VBZ NN CC NN VBZ JJ NN ) CC NNP ( DT NN NN NN IN DT NN ) .,1
IN CD IN CD PRP VBD VBN IN NN IN NNP .,1
": CC NNP , NNP .",1
DT NN NNS CC NNS JJ VBN NNS IN DT NNS VBG RB TO DT JJ NN .,1
"DT CD NN VBD IN DT NN VBD TO VB VBN IN DT NNS IN DT NNP NNP NNP IN DT NNP NNP NNP , NNP .",1
"JJ NNS VBP IN DT NN VBN IN DT NN NN , NN NNS RB RB IN DT NN IN WDT DT NN VBZ CC VBZ IN NN IN PRP$ JJ NN RB RB IN IN DT NN WRB PRP VBZ VBN .",1
CD NN VBD CD .,3
VBN NNS VBD VBN IN DT NN IN DT NNS .,1
"IN NNP CD , CD , DT NN VBD IN NN IN DT NN .",1
DT JJ NN VBD CD .,1
"JJ NNP VBD NN IN VBN NNP POS IN NNP CC DT NNP , WDT VBD NN IN DT JJ NN VBN IN NNP NNP .",1
RB RB IN NNP CD DT JJ NNP NN VBD IN `` DT NNS VBP RB VBG NNS TO VB DT NNP NNP CC JJ NNS VBP VBG VBN .,1
"JJS NNS NNP NNP , CD , CD NNP CD CD NNP CD JJ NNS NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NNP , CD , CD NNP CD CD NNP CD NNP NN TO VB CD NNS NNP NNP , CD NNP CD , JJ NN .",1
"NNP VBD RP CD NNS , CD NNS , CC CD NNS IN CD IN NNP , WRB PRP VBD JJ CC JJ NNS .",1
NNS MD RB VB VBN IN DT NN IN NN .,1
NNP IN JJ NN JJ TO JJ NN MD RB VB .,1
"IN JJ JJ NNS VBP RB JJ NNS , DT JJ NN IN NNS VBP VBZ JJ NNS .",1
"NNP VBD DT JJ NN IN DT NNP , VBG CD CD IN VBG DT CD .",1
NNP VBZ DT NN IN JJ NN NNP NNP .,1
"PRP VBD IN DT NN IN NNP CD , CD IN NNP NNP , NNP .",1
"CD NN VBD NNS IN DT NN IN CD NN IN PRP , CD .",1
"NNP NNP , NNP .",2
"DT NNP NNP JJ NN VBZ VBN `` NNP NNP '' ( , VB NN NN ) .",1
"NN IN NN NNS DT NNP NNP ( JJ : NNP NNP NN ) VBD DT JJ NN IN CD VBN IN JJ NN NNP NNP IN NNS IN NNP , IN DT NN IN VBG DT JJ JJ NN IN DT NN WRB PRP VBD NN IN NNP .",1
"NNP ( , NNP NN ) IN DT NN IN JJ JJ NN , DT NNP NNP ( NNP IN NNP , DT .",1
DT NN NNP VBZ VBN IN DT NNP IN DT JJ JJ NN : PRP VBZ TO DT `` NNS '' IN DT NNP ( VBN TO VB DT NN NN IN JJ NN : VBN IN NNP IN PRP$ JJ NNP ) : RB RB IN TO NNS IN PRP CC DT NNS ( RB DT IN NN ) .,1
"DT JJ NN MD VB NNS IN JJ NNS , IN NNP CD NN MD VB JJ IN NN .",1
PRP VBD RB VBN DT NN NN .,1
PRP$ NNS IN DT NN VBD VBG .,1
CD JJ NN IN JJ NNS VBD VBN .,1
"IN DT NN , DT NN VBN IN DT NN VBZ DT NN , DT JJ NNS VBP TO DT NNP WDT VBZ RB VBN DT NN , IN DT NN NNS TO NNS JJ TO DT NNP NNP .",1
`` NNP NNP '' .,1
CD NN IN DT JJ NN IN DT NN CC VBG TO DT CD NN VBZ DT NN IN CD .,1
PRP VBD NNS CC VBG DT NN IN NN NNS CC NNS PRP VBD RB VBN RP IN PRP$ NN POS NN IN IN CD .,1
"DT CD NNP NNP , RB VBN IN DT CD NNP NNP , VBD DT JJ VBG CD NNS ( JJ NNS ) WP VBD IN DT JJ IN CD NNP CD IN NNP , IN NN IN DT CD NNP NNP ( RB TO VB VBN IN DT JJ NNP IN CD ) .",1
DT NNP VBZ JJ NNS VBN TO NNS IN PRP$ NN IN DT NN CC DT NNP IN DT NNP .,1
NNP NNP IN DT NNP .,1
"VBN IN DT NNS , NNP VBD DT NNP NNP NNP NNP NNP IN DT NNP NNP IN CD , DT JJ JJ NN IN WDT DT NNP VBD DT NN ( IN CD , NNP POS NN NNP NNP VBD DT NN ) .",1
"JJ NNP NN , DT JJ NN IN DT NN IN DT NN RB VBZ IN DT JJ NN .",1
NNP VBD IN DT JJ NN IN NNP POS NN NN PRP VBP VBN RP .,1
NNS IN VBG DT NN IN DT NN NN .,1
IN DT JJ NN IN DT NNS IN NNP NN .,1
NNP POS JJ NN NNP VBZ IN NNS IN DT CD NNS .,1
"NN NNP NNP : NNP POS JJ NNS IN NN NN , NN , NNS , CC NNS IN JJR IN CD JJ NNS CC NNS .",1
"NNP NNP , NNP NNP NNP CC NNP .",1
"JJ NN VBD IN DT JJ TO VBG : NNP VBD PRP IN CD NN IN RB JJ NN , IN JJ NN '' , IN NNP RB RB JJ IN CD POS NNP POS , VBG PRP CD VBZ IN IN CD , IN NNP NNP VBD PRP CD , VBG DT NN IN NNP NN , JJ NN '' VBG DT NN .",1
`` EX VBZ DT NNP NNP '' VBD RB VBN RB IN DT NNP .,1
"NNP NNP , RB JJ TO VB IN DT NNP IN DT JJ NN .",1
NNP VBD PRP$ JJ NN IN JJ JJ NNS IN NNP IN PRP$ NN VBD IN DT NN .,1
"IN JJ , JJ JJ NNS CC JJ NNS VBD JJ CC VBN IN DT JJ NN IN DT NNS .",1
DT JJ NN VBZ VBN IN NNP .,1
PRP$ JJ NN VBD DT JJ NN DT NNP VBN IN JJ NNP .,1
NN CD VBZ RB VBN VBN CC VBN IN NNP CC NNP NNP NNP IN PRP$ JJ NN .,1
"NNP NNP VBD DT NN IN NN IN NNP NNP , IN CD NNS TO CD .",1
CD VBZ VBN IN DT NNS IN DT JJ NNP .,1
"IN DT , WRB PRP VBD NNP NNP NNP VBD RB CD CC NNP VBD CD '' .",1
"NNP NNP VBD RB DT JJ JJ NN , VBN IN DT RB JJ NNS IN NNP IN DT JJ NNS VBG DT NNP NNP .",1
"IN NN , NNP VBD CD IN DT JJR NNS IN NNP , CC VBD DT JJ NN IN VBG NNS IN DT NNP NNP CC VBD PRP$ JJ NNS .",1
"IN NN , DT NN MD VB JJ JJ , JJ NN , JJ NN , FW .",1
NN VBD VBG NN NN CC JJ .,1
"NNP NNP NNP NN IN DT NNP NNP NNS VBP NNP NNP , CD NNP CD , JJ NN .",1
NNP CD VBD VBN IN NNP CD IN NNP NNP IN DT JJ NNP .,1
PRP VBZ DT NN IN DT NNP JJ JJ NN NN .,1
NNP POS NNP NNP .,3
"IN NN TO DT NNS , JJ JJ NNS VBD VBN IN JJ NN JJ NN IN NN NNS CC DT NN NN , IN IN DT NN IN JJ NN .",1
"NNP IN NNP NNP , NNP CD NNS IN DT NN NN IN DT NNP NNP IN WP VBZ VBN IN DT NNP NNP .",1
EX VBD CD JJ NNS CC CD NNS IN CD NNS .,1
"DT NN IN NN CC NN VBZ VBN IN IN DT JJ NN IN DT NN NNP CC NNP : DT JJ NN VBZ `` JJ '' , IN NN , IN `` NNP '' CC `` NNP NNP NNP IN DT NNP '' VBP JJ NNS IN NN .",1
"IN NN TO VB CC NNS , DT NNS VBP JJ NNS JJ IN NNS , NNS IN JJ NNS , NNS , NNS , NNS , CC NNS , IN NNS .",1
"DT NNP VBZ PRP$ NN NNS , NNS , NNS , CC NNS TO NNS CC NNS RB IN PRP$ NN CC DT NN NN NN .",1
"IN CD NNP CC NNP VBD IN NNS NNP TO VB DT NNP NN , WDT VBP NNS RB VBD IN NNP CC VBD NNP NNP .",1
IN DT NNS EX VBP JJ NNS CC NNS .,1
"VBG TO DT CD NNP NNPS NNP , NNP CC NNP NNP ( NNP ) NNP IN DT NNP POS NNP IN NNP , DT NNP NN VBZ JJ , IN DT JJ NNS VBD IN DT CD .",1
"JJR IN CD NNS VBP DT NN IN DT JJ NN , CC DT VBN RP NN MD VB JJ .",1
DT JJS NN VBN IN DT JJ NN IN DT JJ NN VBZ VBN TO VB $ CD CD ( JJ $ CD CD IN NNP CD NNS ) IN NNP NNP POS NNP .,1
"VBG VBZ NN , VBG , CC VBG .",1
"NNP NNP ) NNP ( CD , NN .",4
NNP VBD IN NNS MD RB VB NN NNS ( `` NNS '' ) TO VB TO PRP IN DT NN IN IN CD IN NN .,1
"IN RB , NNP CC NNP VBP VBN DT NN NNP IN NNP .",1
DT NNP NNP NNP NNP IN NNP CC NNP ( NNP ) IN PRP$ CD NN PRP$ JJ NNP VBZ JJ NN : `` NNP WDT VBZ DT NNS IN DT JJ IN VBG DT NN IN JJ NNS TO VB PRP$ JJ NNS .,1
DT JJ NN VBZ VBG DT JJ NN NN IN NNP CD CC VBG JJ NN NNS IN TO VB CD .,1
"PRP VBZ VBN IN DT NN IN PRP$ JJ CD NN NN IN RB JJ , VBD JJ NNS : RB , DT JJ JJ NN VBP JJ JJ JJ NNS IN PRP$ NN .",1
( CD ) NNP ( CD NN ) .,1
"CD NN VBD VBN NNS VBG RB , CD .",2
"IN CD , NNP NNP CC DT JJ CD NNP NN NN VBP VBG PRP$ JJ NN IN DT NNP NNP NNP NNP `` NNP NNP '' VBZ VBG IN NN IN DT NNP POS NNP NNP .",1
PRP VBZ VBD IN NN IN DT NNS VBN VBP JJ TO NN .,1
VBN NN .,1
"NNP NNP NN TO VB IN DT NNP NNP VBG NN NNP NNP , CD NNS , CD NNS , CD NNP CD , JJ NN .",1
DT NNP NN NNP NNP NNP VBD NN .,1
DT NN IN NNP IN DT JJ NN IN NN VBZ DT JJ JJ NN .,1
"IN CD NN , NNP VBZ DT NN IN DT NNP NNP NNP POS NNP VBD NNS , WDT VBZ JJ NNS .",1
"NNP NNP NNP ( JJ CD NNP CD , IN NNP , NNP ) VBZ JJ NNP IN NNP NNP POS NNP , NNP ( NNP .",1
"IN NNP CD , DT NN VBD CD NNS TO VBG , VBG NNP NNP , NNP NNP , NNP NNP NN , NNP NN , NNP DT DT , NNP NNP CC NNP NNP .",1
NNS VBP VBN DT NNP NN IN JJ NNS IN VBG JJ CC RB VBN IN NN NNS .,1
JJ NN NNS VBP IN CD VBP TO CD NN .,1
"IN NN IN DT NN NN , DT NNP NNP NNP VBD VBN IN NNP TO NNP IN DT CD .",1
"NNP NNP , CD IN DT VBG NNS IN DT JJ NNP , VBD PDT DT NNS IN NNS , IN WDT DT NNP CC NNP NNP VBP VBN , VBP JJ RB IN NNS TO VB CC VB TO VB .",1
JJ NN NNP NNP JJ .,1
"PRP VBD IN NNP CD , IN PRP$ NN , CD NNP NNP , IN NNP , NNP NNP IN DT NN IN CD NNS .",1
"NNP NNP NNP NNS VB PRP$ NN NNP NNP , IN PRP VBP RB VBN DT NN , PRP VBD DT NN TO VB DT NNP NNP NNP POS JJ JJ NN .",1
"NN IN DT NN VBD RB VBN JJ IN DT NN NN IN NNP NNP ( VBN IN NNP CD , CD ) : IN DT NN IN DT JJ NN IN DT NN , DT JJ NN VBD VBN JJ NN IN $ CD NN .",1
DT NN VBD VBN TO VB IN CD .,1
"NNP CC NNP NNP IN NNP POS JJ NN IN NNP , NNP .",1
"NNP NN IN DT NN IN NNS IN DT NN , JJ NN VBZ DT JJ NN CC WRB PRP VBZ CC VBZ JJ CC JJ .",1
"IN NNP CD , CD , DT NN VBD VBN IN NN IN VBG NNS .",1
NNP VBD DT JJ NN IN CD IN DT NN IN DT CD NN .,1
"IN DT CD NN , DT NNS VBN NNP IN IN NNP NNP CC NNP NNP TO DT NNP NNP NNP IN NNP NNP , NNP NNP , CC NNP NNP .",1
"NNP VBD PRP$ NN NNP NNP IN CD CC VBD JJ NNS IN NNP ( CD ) , NNP NNP ( CD ) , NNP NNP ( CD ) , NNP ( CD ) , NNP ( CD ) CC NNP NNP ( CD ) .",1
NNP ( NNP ) CD JJ NNP CD NNP ( NNP ) CD DT JJ NNS IN DT NN NN VBD VBN IN JJ NN TO VB NNP NNP CD .,1
"IN JJ NN DT JJ JJ NNP VBD RB VBZ IN JJ NNP NN ( CC NNP NNP NN ) NNP `` NNP '' NNP , CC MD VB NNP NNP , RB VBN IN PRP$ NN DT NNP IN PRP$ JJ NNS , IN PRP$ JJ NNS .",1
"DT JJ NN IN NNS , NNS CC NNS VBP VBN IN NN .",1
NNP VBZ DT NN IN DT NNP NN IN JJ NNP .,1
PRP VBD VBN VBG IN NN IN DT NN IN DT JJ NNS IN DT NNP WRB NNP NNP VBD VBN VBN .,1
"NNP NNP NNP NN NNP NNP , CD NNS , CD NNS , CD NNP CD , JJ NN .",1
"NNP NNP VBD IN DT NN , `` PRP VBD JJ NN , NNS , CC JJ NNS IN PRP$ NN .",1
VBG NN IN NNS IN DT NN WDT VBZ DT NN CC NN ) .,1
PRP VBD VBN NNP IN DT NNP IN CD CC VBD CD NN .,1
NNP NNP NNP '' .,1
"IN CD , DT NNP NNP IN NNP CC NNP VBN IN CD DT NNP NNP , WDT VBZ DT NN IN DT RB , JJ , CC JJ JJ NN IN DT JJ NN .",1
"PRP$ NN VBD DT NN RB RB TO PRP$ NN , CC RB TO DT NN IN PRP$ NNS IN DT NNS IN DT NN VBN NNS RB CD IN PRP$ NN CC NN IN DT JJ NN .",1
"DT NN VBD VBN IN NNP NNP IN DT NNP NNP CD NNP NNP NNP ( RB VBN IN NNP ) , CC DT NN VBD RB VBN IN DT NNP IN DT NNP NNP CC NNP NNP .",1
"NNS NNP NN TO VB IN DT NNP NNP NNS NNP NNP , CD NNP CD , JJ NN .",1
RB PRP VBZ IN PRP MD RB VB IN DT NN IN NN PRP VBD WP PRP$ NN IN NN MD VB VBN IN JJ NNS IN PRP$ NN .,1
"RB , PRP VBD VBN RP NNP , DT JJ NNP NN NN NN TO VB JJ NN IN DT NN TO VB NN IN NNP NNS .",1
"DT NN IN NN ) VBZ VBN , DT JJ JJ NN MD VB VBN TO DT JJ NN .",1
"IN NNP CD , DT NNP IN NNP VBD JJ NNS TO VB IN NNS IN DT NN IN NNP MD VB RBR CC VB DT NN TO DT NNS .",1
"IN JJ NN NNS VBD DT RBS RB JJ NNS IN NNS IN NNS : CC NNPS VBD DT NN IN NNS IN VBN : JJ NN VBG PRP VBN NNS IN JJ NN IN DT NNP NNP POS JJ NN TO NN , VBG DT JJ NNS TO DT JJR NN IN NNS : `` IN DT NNS , DT NNP JJS CC RBS RB VBD PRP$ NNS IN VBG IN IN NNS CC VBG IN IN NNS '' .",1
NNP NNS CC JJ NNS VBP VBN IN DT NN IN NN NNS IN DT JJ .,1
"CD NN IN DT NN VBD IN DT NN NN , VBG CD .",2
"NNP NNP NNS IN DT NNP NNP NNP NNP POS NN IN NNP NNP NNP NNP NNP NNP CC PRP$ NN IN NN IN DT NNP NNP DT JJ NN IN NNP EX VBZ NN IN NNP NNP NN TO NNP NNP VBZ IN NNP , CC NNP NNP VBZ VBN IN DT NN IN DT NNP CC NNP .",1
"NNP NNP , DT JJ NN IN DT NNP , VBD NNS IN CD NNS IN PRP$ NNP NN NNS : DT NNS WDT VBP RB VBN IN NNP IN DT JJ NN VBD TO NNS VBP JJ TO VB VBN NNS : IN PRP VBP VBN ( NN ) IN DT NN WRB PRP VBP DT NN IN VBG DT NN .",1
IN DT NNP NN VBZ DT NN IN PRP$ VBG NN .,1
PRP VBZ VBN TO JJ NNS VBN IN DT NN .,1
"( CD , NN .",1
"NNP NNP NN NN NNP NNP , CD NNS CD NNS , CD NNP CD , JJ NN .",1
"IN NNP CD , CD , NNP VBD VBN IN DT NNPS TO DT NNP NNP IN NN IN DT JJ NN .",1
"IN DT NNP NN VBD JJ NNS CC DT JJ NN IN JJ NN CC JJ NN , PRP VBD TO VB DT JJ NNS IN DT JJ NNS IN DT CD JJ NNS VBD TO VB IN DT JJ NN .",1
DT NNP NNP NNP NNP VBZ VBN TO VBG JJ NNS CC NNS IN NN CC NN NN .,1
"NNP VBD PRP$ NN CC VBD NNP NNP NNP , WRB PRP VBD VBN TO DT NNP NNP NNP JJ NN IN DT JJ NN IN CD .",1
EX VBP JJ NNS IN NNP NNP CC NNP NNP NNP NNP IN NNP CC JJS NNS VBP VBN IN NNP NNP .,1
NNP VBZ IN EX VBZ NN IN DT NN IN NNP NNP .,1
"NNP NNP ) DT NNP : DT NNP NNP ( CD , NN .",1
DT JJ NN IN DT NNS IN DT NNP VBD CD IN CD CC CD IN CD .,1
NN IN DT CD .,1
NNP NNP POS NNP NNP VBP `` NNP NN .,1
DT NN VBZ RB VBN $ CD CD CD IN NN NNS IN DT NN IN DT JJ NN IN NNP CD .,1
"PRP VBD IN CD NN IN DT CD NNP NNP JJ , CC VBD TO JJ NNS , NNP NNP NNP .",1
"IN IN NNP CC NNP , NNP VBD VBN IN CD IN DT JJ NNS IN DT NNP NNP NNP IN DT JJ NN VBD VBN IN CD .",1
"DT NN NNP VBZ NNP , VBG NNP CC NNP NNP NNP , DT NNP NN , VBZ IN NNP POS NN IN DT NN IN DT NN IN DT NN IN NN , CC NNP , VBG IN PRP$ NN NNPS NNP , VBZ DT JJ NNS TO VB JJR IN JJ , VBG JJ NNS IN NNS , IN DT JJ NN VBZ RB JJ CC JJ TO NN .",1
"NNP IN DT NN VBN IN PRP$ NN NNS , RB RB RB RB PRP VBD VBG PRP IN DT NN NN , CC RB RB IN DT NN , PRP VBD VBN TO DT NN IN PRP$ JJ NN , IN PRP$ NNS VBD RB VBN IN PRP VBD VBN DT NN IN DT NN .",1
"DT VBZ JJ NNS DT NN NN IN NNS , VBG DT NN IN DT JJ NN .",1
"IN DT NN IN DT JJ NNP NNP , NNP NNP VBZ DT NN IN NN : `` DT IN DT NNS PRP VBP VBN IN NN NNP JJ NNS , CC DT IN DT NNS MD VB JJ IN NNS .",1
"NNP POS NNS VBP NNP , DT CD VBD NN NN IN NNP NN NN , CC RB VB VBN TO NNP NN IN DT NNP NN IN DT NN IN DT NN VBD TO VB IN DT NN TO VB IN NN IN DT NN .",1
"DT JJ NN IN JJ , RBR JJ , JJ NNS MD VB JJ NNS IN DT NNP CC DT CD NNS RB IN DT NNP NNP NNP .",1
"NNP VBD TO NNP IN CD , WRB PRP VBD NN IN DT NN IN JJ NNP NNP .",1
"DT NNP RB VBD DT NN TO VB NNS TO DT NNS , NNS CC NNS IN CD NNS ( CD NN ) IN DT NN IN DT NN CC NN .",1
CD ) CC NNP NNP ( .,1
CD NN IN DT NN POS NN .,1
"NNP NNP NNP ( CD CD ) , NNP NN , JJ NNP NNP IN NNP WDT VBD DT NNP NNP IN PRP$ NNS IN JJS IN DT NNP NNP NNP .",1
"PRP VBZ VBN IN CD NN NNS , VBG DT IN NNP NNP , NNP NNP , NNP NNP , CC NNP NNP , TO VB DT JJ .",1
PRP VBZ NN IN JJ NNS .,1
"DT NNS RB VBD DT NN IN DT NNP NN , CC DT NN IN NNP NN IN NNP .",1
NNP NNP POS ( `` NNP NNP NNP NNP NNP '' IN DT NNP NN ) NN NNP NNP CC VBZ DT NN TO VB IN .,1
